fid,wb_name,countryname,gdp
60,Albania,Albania,4327.37995998728
5,Argentina,Argentina,10385.9644319555
67,Armenia,Armenia,3705.35739637697
61,Azerbaijan,Azerbaijan,5981.58065567077
123,Bangladesh,Bangladesh,907.2575390950721
32,Belarus,Belarus,6542.67841209401
97,Benin,Benin,1134.92453620908
3,Bolivia,Bolivia,1955.46154376367
127,Bosnia and Herzegovina,Bosnia and Herzegovina,6303.68866498252
105,Bulgaria,Bulgaria,7146.5587960175
120,Burundi,Burundi,245.326738733565
54,Cambodia,Cambodia,1079.63053900119
141,Cameroon,Cameroon,1469.19263610857
82,Central African Republic,Centralafricanrepublic,505.238458728031
110,Chad,Chad,812.015817950141
2,Chile,Chile,12808.034586422
8,China,China,5325.35841728849
161,"Hong Kong (SAR, China)",China,5325.35841728849
233,"Macau (SAR, China)",China,5325.35841728849
133,Colombia,Colombia,7620.91617187225
29,"Congo, Democratic Republic of","Congo, Dem. Rep.",375.219175503059
26,Costa Rica,Costarica,8141.91312675461
99,Croatia,Croatia,13654.2454415363
46,Czech Republic,Czech Republic,24265.9892032481
92,CÃ´te d'Ivoire,Côte d'Ivoire,1529.50745372791
109,Dominican Republic,DominicanRepublic,7026.17815711352
132,Ecuador,Ecuador,4633.59035839904
156,"Egypt, Arab Republic of",Egypt,2762.58897989658
112,El Salvador,ElSalvador,2983.22977097694
48,Estonia,Estonia,16778.9006343046
12,Ethiopia,Ethiopia,482.639066335501
160,"Gambia, The",Gambia,791.450044695264
58,Georgia,Georgia,4978.49949788261
146,Ghana,Ghana,1618.59784984947
77,Greece,Greece,23546.6394661725
113,Guatemala,Guatemala,2898.94221470448
80,Guinea,Guinea,809.957816531762
131,Honduras,Honduras,2111.19316426974
72,Hungary,Hungary,13654.2861901501
7,India,India,1640.18070024053
0,Indonesia,Indonesia,3824.27488523624
138,Jordan,Jordan,3438.675873372
39,Kazakhstan,Kazakhstan,11518.3582312232
15,Kenya,Kenya,1201.46635823697
66,Kyrgyz Republic,Kyrgyz Republic,1116.35789141128
65,Lao People's Democratic Republic,LaoPDR,1621.73855833524
49,Latvia,Latvia,16722.1049572786
11,Lebanon,Lebanon,6978.95258625983
81,Liberia,Liberia,548.010538342081
41,Lithuania,Lithuania,14317.5381443074
17,Malawi,Malawi,507.537974993908
1,Malaysia,Malaysia,10912.1530819693
94,Mali,Mali,749.693237303723
158,Mauritania,Mauritania,1692.46094658416
151,Mexico,Mexico,9271.398233246389
44,Mongolia,Mongolia,3669.52401258449
25,Morocco,Morocco,3087.12349650562
118,Mozambique,Mozambique,592.5113960320811
122,Myanmar,Myanmar,1257.4836156234
33,Namibia,Namibia,6112.5232373094
139,Nepal,Nepal,670.83782652285
27,Nicaragua,Nicaragua,1895.20015881674
143,Niger,Niger,535.174835632604
96,Nigeria,Nigeria,2550.47036793786
59,North Macedonia,North Macedonia,4751.15006643681
16,Pakistan,Pakistan,1028.44108649159
153,Panama,Panama,8082.02845866252
134,Paraguay,Paraguay,4355.93493867734
4,Peru,Peru,6314.29143772856
168,Philippines,Philippines,2735.18753202715
74,Poland,Poland,17406.5520804528
135,Portugal,Portugal,24658.5001966101
71,Romania,Romania,12091.8953918152
45,Russian Federation,Russia,12011.5318008407
121,Rwanda,Rwanda,642.309381032161
95,Senegal,Senegal,1338.71674774698
93,Serbia,Serbia,6086.72664009676
79,Sierra Leone,SierraLeone,466.94506935512
73,Slovak Republic,Slovak Republic,17599.7990391385
100,Slovenia,Slovenia,27426.7941065029
13,South Sudan,Southsudan,831.850462391635
83,Sudan,Sudan,1782.74173912551
40,Tajikistan,Tajikistan,1121.13023002235
18,Tanzania,Tanzania,817.122634053598
106,Thailand,Thailand,5916.12607210505
145,Togo,Togo,649.445938994575
70,Tunisia,Tunisia,4220.38983542652
63,Turkey,Turkey,12935.6871973172
128,Uganda,Uganda,875.473280906685
31,Ukraine,Ukraine,3224.93516522753
43,Uruguay,Uruguay,11992.0166266335
38,Uzbekistan,Uzbekistan,2458.99427136333
154,"Venezuela, Republica Bolivariana de",Venezuela,13825.3580883312
53,Vietnam,Vietnam,1667.1718910463
10,West Bank and Gaza,West Bank And Gaza,2939.32977739301
157,"Yemen, Republic of",Yemen,1334.78484461341
78,Zambia,Zambia,1653.82940051561
104,Zimbabwe,Zimbabwe,1066.42626547202
