fid,wb_name_2,countryname_2,city_2,large_2,nl_average_2,innov_index_2
13,South Sudan,Southsudan,Juba,0,0.26748174,1.1454082
154,"Venezuela, Republica Bolivariana de",Venezuela,Caracas,0,1.1682233,1.6
118,Mozambique,Mozambique,Nampula,0,6.6689372,0.76119405
29,"Congo, Democratic Republic of","Congo, Dem. Rep.",Mbuji-Mayi,0,7.9808917,1.0243902
158,Mauritania,Mauritania,Nouakchott,0,8.1332607,1.6860465
44,Mongolia,Mongolia,Ulan Bator,0,8.2716484,1.1037464
122,Myanmar,Myanmar,Mandalay,0,8.5097752,0.49350649
18,Tanzania,Tanzania,Mwanza,0,8.7064581,1.0909091
15,Kenya,Kenya,Kisumu,0,9.4054956,1.385621
121,Rwanda,Rwanda,Kigali,0,9.5807962,1.7662338
96,Nigeria,Nigeria,Ibadan,0,9.9031582,1.79
18,Tanzania,Tanzania,Arusha,0,10.424438,1.6753247
65,Lao People's Democratic Republic,LaoPDR,Vientiane,0,10.738538,0.50378788
139,Nepal,Nepal,Pokhara,0,11.813334,1.1818181
16,Pakistan,Pakistan,Gujranwala,0,12.386063,0.86153847
153,Panama,Panama,Panama City,0,12.486618,0.33333334
82,Central African Republic,Centralafricanrepublic,Bangui,0,12.651376,1.5342466
156,"Egypt, Arab Republic of",Egypt,Port Said,0,13.873288,0.21951219
83,Sudan,Sudan,Omdurman,0,14.156267,1
131,Honduras,Honduras,Tegucigalpa,0,14.169705,1.004717
29,"Congo, Democratic Republic of","Congo, Dem. Rep.",Lubumbashi,0,14.602249,1.3888888
41,Lithuania,Lithuania,Vilniaus,0,14.631559,0.60240966
127,Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo,0,15.356242,1.4850746
81,Liberia,Liberia,Monrovia,0,15.46875,1
16,Pakistan,Pakistan,Faisalabad,0,15.54031,0.05882353
33,Namibia,Namibia,Windhoek,0,15.546219,1.6224489
45,Russian Federation,Russia,Kazan,0,16.323092,0.40579709
38,Uzbekistan,Uzbekistan,Samarqand,0,16.384001,0.71428573
16,Pakistan,Pakistan,Islamabad-Rawalpindi,0,16.627062,1
18,Tanzania,Tanzania,Dar es Salaam,0,16.802393,1.4289855
141,Cameroon,Cameroon,Douala,0,18.160591,0.54014599
49,Latvia,Latvia,Riga,0,18.217945,0.82868528
132,Ecuador,Ecuador,Guayaquil,0,18.910509,1.4237288
25,Morocco,Morocco,Fez,0,19.944525,0.15151516
7,India,India,Kanpur,0,20.3372,0.44827586
80,Guinea,Guinea,Conakry,0,20.528942,0.43589744
3,Bolivia,Bolivia,Santa Cruz de La Sierra,0,20.931597,1.433121
