lognl,pop,innovation intensity
-1.3,0.27,0.0898136
-1.3,1.27,0.0580431
-1.3,2.27,0.0368458
-1.3,3.27,0.0231088
-1.3,4.27,0.0143793
-1.3,5.27,0.0089023
-1.3,6.27,0.005494
-1.3,7.27,0.0033839
-1.3,8.27,0.0020817
-1.3,9.27,0.0012796
-1.3,10.27,0.0007862
-1.3,11.27,0.0004829
-1.3,12.27,0.0002966
-1.3,13.27,0.0001821
-1.3,14.27,0.0001118
-1.3,15.27,0.0000687
-1.3,16.27,0.0000422
-1.3,17.27,0.0000259
-1.3,18.27,0.0000159
-1.3,19.27,9.76E-06
-1.3,20.27,5.99E-06
-1.3,21.27,3.68E-06
-1.3,22.27,2.26E-06
-1.3,23.27,1.39E-06
-1.3,24.27,8.51E-07
-1.3,25.27,5.22E-07
-1.3,26.27,3.21E-07
-0.8,0.27,0.0970751
-0.8,1.27,0.0696188
-0.8,2.27,0.049314
-0.8,3.27,0.0346083
-0.8,4.27,0.0241234
-0.8,5.27,0.016733
-0.8,6.27,0.0115666
-0.8,7.27,0.007976
-0.8,8.27,0.0054906
-0.8,9.27,0.0037753
-0.8,10.27,0.0025938
-0.8,11.27,0.001781
-0.8,12.27,0.0012224
-0.8,13.27,0.0008388
-0.8,14.27,0.0005755
-0.8,15.27,0.0003948
-0.8,16.27,0.0002708
-0.8,17.27,0.0001857
-0.8,18.27,0.0001274
-0.8,19.27,0.0000874
-0.8,20.27,0.0000599
-0.8,21.27,0.0000411
-0.8,22.27,0.0000282
-0.8,23.27,0.0000193
-0.8,24.27,0.0000133
-0.8,25.27,9.09E-06
-0.8,26.27,6.23E-06
-0.3,0.27,0.1040463
-0.3,1.27,0.0815898
-0.3,2.27,0.0634879
-0.3,3.27,0.0490909
-0.3,4.27,0.0377662
-0.3,5.27,0.0289368
-0.3,6.27,0.0221013
-0.3,7.27,0.0168389
-0.3,8.27,0.0128049
-0.3,9.27,0.009723
-0.3,10.27,0.0073746
-0.3,11.27,0.0055885
-0.3,12.27,0.0042323
-0.3,13.27,0.0032036
-0.3,14.27,0.002424
-0.3,15.27,0.0018336
-0.3,16.27,0.0013867
-0.3,17.27,0.0010485
-0.3,18.27,0.0007927
-0.3,19.27,0.0005993
-0.3,20.27,0.000453
-0.3,21.27,0.0003424
-0.3,22.27,0.0002588
-0.3,23.27,0.0001956
-0.3,24.27,0.0001479
-0.3,25.27,0.0001117
-0.3,26.27,0.0000845
0.2,0.27,0.1106083
0.2,1.27,0.0934963
0.2,2.27,0.0786993
0.2,3.27,0.066
0.2,4.27,0.0551727
0.2,5.27,0.0459944
0.2,6.27,0.0382525
0.2,7.27,0.03175
0.2,8.27,0.0263081
0.2,9.27,0.0217679
0.2,10.27,0.0179897
0.2,11.27,0.0148524
0.2,12.27,0.012252
0.2,13.27,0.0100999
0.2,14.27,0.008321
0.2,15.27,0.0068522
0.2,16.27,0.0056405
0.2,17.27,0.0046415
0.2,18.27,0.0038184
0.2,19.27,0.0031406
0.2,20.27,0.0025827
0.2,21.27,0.0021235
0.2,22.27,0.0017458
0.2,23.27,0.0014351
0.2,24.27,0.0011796
0.2,25.27,0.0009695
0.2,26.27,0.0007968
0.7,0.27,0.1166484
0.7,1.27,0.1048469
0.7,2.27,0.0940607
0.7,3.27,0.0842365
0.7,4.27,0.0753169
0.7,5.27,0.0672425
0.7,6.27,0.0599529
0.7,7.27,0.053388
0.7,8.27,0.0474893
0.7,9.27,0.0421999
0.7,10.27,0.0374656
0.7,11.27,0.0332354
