lognl,pop,innovation intention
-1.3,0.27,0.4675591
-1.3,1.27,0.366399
-1.3,2.27,0.2737243
-1.3,3.27,0.1952309
-1.3,4.27,0.1336459
-1.3,5.27,0.0884916
-1.3,6.27,0.0571464
-1.3,7.27,0.0362582
-1.3,8.27,0.0227326
-1.3,9.27,0.0141421
-1.3,10.27,0.0087543
-1.3,11.27,0.0054022
-1.3,12.27,0.0033272
-1.3,13.27,0.0020467
-1.3,14.27,0.0012581
-1.3,15.27,0.0007731
-1.3,16.27,0.0004749
-1.3,17.27,0.0002916
-1.3,18.27,0.0001791
-1.3,19.27,0.00010996
-1.3,20.27,0.00006749
-1.3,21.27,0.00004148
-1.3,22.27,0.00002541
-1.3,23.27,0.00001561
-1.3,24.27,0.000009591
-1.3,25.27,0.000005882
-1.3,26.27,0.000003611
-0.8,0.27,0.486518
-0.8,1.27,0.4073145
-0.8,2.27,0.3314814
-0.8,3.27,0.2621565
-0.8,4.27,0.2017117
-0.8,5.27,0.1513776
-0.8,6.27,0.1111886
-0.8,7.27,0.0802433
-0.8,8.27,0.0571139
-0.8,9.27,0.040226
-0.8,10.27,0.0281124
-0.8,11.27,0.0195363
-0.8,12.27,0.0135221
-0.8,13.27,0.009333
-0.8,14.27,0.0064289
-0.8,15.27,0.0044225
-0.8,16.27,0.0030393
-0.8,17.27,0.0020873
-0.8,18.27,0.0014329
-0.8,19.27,0.0009834
-0.8,20.27,0.0006747
-0.8,21.27,0.0004629
-0.8,22.27,0.0003175
-0.8,23.27,0.0002177
-0.8,24.27,0.0001494
-0.8,25.27,0.00010249
-0.8,26.27,0.00007033
-0.3,0.27,0.5036168
-0.3,1.27,0.4444859
-0.3,2.27,0.3863311
-0.3,3.27,0.3305357
-0.3,4.27,0.2783647
-0.3,5.27,0.2308449
-0.3,6.27,0.1886693
-0.3,7.27,0.1521538
-0.3,8.27,0.1212552
-0.3,9.27,0.0956411
-0.3,10.27,0.0747833
-0.3,11.27,0.0580539
-0.3,12.27,0.0448035
-0.3,13.27,0.0344153
-0.3,14.27,0.0263376
-0.3,15.27,0.0200972
-0.3,16.27,0.0153009
-0.3,17.27,0.0116288
-0.3,18.27,0.0088262
-0.3,19.27,0.0066922
-0.3,20.27,0.0050701
-0.3,21.27,0.0038389
-0.3,22.27,0.0029054
-0.3,23.27,0.0021981
-0.3,24.27,0.0016627
-0.3,25.27,0.0012573
-0.3,26.27,0.0009507
0.2,0.27,0.5188275
0.2,1.27,0.477329
0.2,2.27,0.4359266
0.2,3.27,0.3951054
0.2,4.27,0.3553457
0.2,5.27,0.3171035
0.2,6.27,0.2807899
0.2,7.27,0.2467515
0.2,8.27,0.2152529
0.2,9.27,0.186469
0.2,10.27,0.1604814
0.2,11.27,0.1372842
0.2,12.27,0.1167963
0.2,13.27,0.098876
0.2,14.27,0.0833385
0.2,15.27,0.0699718
0.2,16.27,0.0585519
0.2,17.27,0.0488537
0.2,18.27,0.0406605
0.2,19.27,0.0337697
0.2,20.27,0.0279966
0.2,21.27,0.0231752
0.2,22.27,0.0191598
0.2,23.27,0.0158234
0.2,24.27,0.0130564
0.2,25.27,0.0107653
0.2,26.27,0.0088709
0.7,0.27,0.5321409
0.7,1.27,0.5055167
0.7,2.27,0.4787978
0.7,3.27,0.4521114
0.7,4.27,0.4255866
0.7,5.27,0.3993532
0.7,6.27,0.3735391
0.7,7.27,0.3482685
0.7,8.27,0.3236599
0.7,9.27,0.2998229
0.7,10.27,0.2768568
0.7,11.27,0.2548484
0.7,12.27,0.2338699
0.7,13.27,0.2139782
0.7,14.27,0.1952146
0.7,15.27,0.1776038
0.7,16.27,0.1611552
0.7,17.27,0.1458642
0.7,18.27,0.1317124
0.7,19.27,0.1186702
0.7,20.27,0.1066986
0.7,21.27,0.0957505
0.7,22.27,0.0857735
0.7,23.27,0.0767106
0.7,24.27,0.0685025
0.7,25.27,0.0610893
0.7,26.27,0.0544105
1.2,0.27,0.5435609
1.2,1.27,0.5289085
1.2,2.27,0.5141939
1.2,3.27,0.4994378
1.2,4.27,0.4846613
1.2,5.27,0.4698863
1.2,6.27,0.4551342
1.2,7.27,0.4404271
1.2,8.27,0.4257869
1.2,9.27,0.4112355
1.2,10.27,0.3967946
1.2,11.27,0.3824857
1.2,12.27,0.3683302
1.2,13.27,0.3543485
1.2,14.27,0.3405608
1.2,15.27,0.3269862
1.2,16.27,0.3136434
1.2,17.27,0.3005498
1.2,18.27,0.2877219
1.2,19.27,0.2751747
1.2,20.27,0.2629225
1.2,21.27,0.2509777
1.2,22.27,0.2393517
1.2,23.27,0.228054
1.2,24.27,0.2170931
1.2,25.27,0.2064757
1.2,26.27,0.1962069
1.7,0.27,0.5530993
1.7,1.27,0.5474845
1.7,2.27,0.5418568
1.7,3.27,0.536217
1.7,4.27,0.5305664
1.7,5.27,0.5249064
1.7,6.27,0.5192379
1.7,7.27,0.5135621
1.7,8.27,0.5078802
1.7,9.27,0.5021937
1.7,10.27,0.4965035
1.7,11.27,0.4908109
1.7,12.27,0.4851172
1.7,13.27,0.4794236
1.7,14.27,0.4737312
1.7,15.27,0.4680415
1.7,16.27,0.4623556
1.7,17.27,0.4566748
1.7,18.27,0.4510003
1.7,19.27,0.4453334
1.7,20.27,0.4396753
1.7,21.27,0.4340274
1.7,22.27,0.4283907
1.7,23.27,0.4227667
1.7,24.27,0.4171565
1.7,25.27,0.4115614
1.7,26.27,0.4059826
2.2,0.27,0.5607722
2.2,1.27,0.5612905
2.2,2.27,0.5618088
2.2,3.27,0.5623268
2.2,4.27,0.5628447
2.2,5.27,0.5633624
2.2,6.27,0.5638801
2.2,7.27,0.5643977
2.2,8.27,0.564915
2.2,9.27,0.5654322
2.2,10.27,0.5659492
2.2,11.27,0.5664662
2.2,12.27,0.566983
2.2,13.27,0.5674997
2.2,14.27,0.5680161
2.2,15.27,0.5685324
2.2,16.27,0.5690486
2.2,17.27,0.5695647
2.2,18.27,0.5700805
2.2,19.27,0.5705963
2.2,20.27,0.5711118
2.2,21.27,0.5716273
2.2,22.27,0.5721426
2.2,23.27,0.5726577
2.2,24.27,0.5731727
2.2,25.27,0.5736874
2.2,26.27,0.5742022
2.7,0.27,0.5665969
2.7,1.27,0.5703955
2.7,2.27,0.5741859
2.7,3.27,0.5779676
2.7,4.27,0.5817405
2.7,5.27,0.585504
2.7,6.27,0.5892581
2.7,7.27,0.593002
2.7,8.27,0.5967357
2.7,9.27,0.6004587
2.7,10.27,0.6041709
2.7,11.27,0.6078718
2.7,12.27,0.611561
2.7,13.27,0.6152382
2.7,14.27,0.6189033
2.7,15.27,0.6225559
2.7,16.27,0.6261956
2.7,17.27,0.6298222
2.7,18.27,0.6334351
2.7,19.27,0.6370345
2.7,20.27,0.6406199
2.7,21.27,0.6441909
2.7,22.27,0.6477472
2.7,23.27,0.6512888
2.7,24.27,0.6548151
2.7,25.27,0.6583261
2.7,26.27,0.6618212
3.2,0.27,0.5705882
3.2,1.27,0.5748608
3.2,2.27,0.5791223
3.2,3.27,0.5833723
3.2,4.27,0.5876103
3.2,5.27,0.591836
3.2,6.27,0.5960486
3.2,7.27,0.6002477
3.2,8.27,0.604433
3.2,9.27,0.6086039
3.2,10.27,0.6127599
3.2,11.27,0.6169008
3.2,12.27,0.6210259
3.2,13.27,0.6251348
3.2,14.27,0.629227
3.2,15.27,0.6333024
3.2,16.27,0.6373602
3.2,17.27,0.6414
3.2,18.27,0.6454218
3.2,19.27,0.6494247
3.2,20.27,0.6534086
3.2,21.27,0.657373
3.2,22.27,0.6613175
3.2,23.27,0.6652418
3.2,24.27,0.6691455
3.2,25.27,0.6730282
3.2,26.27,0.6768895
3.7,0.27,0.5727583
3.7,1.27,0.5747214
3.7,2.27,0.5766823
3.7,3.27,0.5786408
3.7,4.27,0.5805969
3.7,5.27,0.5825505
3.7,6.27,0.5845015
3.7,7.27,0.5864501
3.7,8.27,0.588396
3.7,9.27,0.5903392
3.7,10.27,0.5922798
3.7,11.27,0.5942176
3.7,12.27,0.5961526
3.7,13.27,0.5980848
3.7,14.27,0.6000141
3.7,15.27,0.6019403
3.7,16.27,0.6038638
3.7,17.27,0.6057841
3.7,18.27,0.6077013
3.7,19.27,0.6096155
3.7,20.27,0.6115266
3.7,21.27,0.6134344
3.7,22.27,0.615339
3.7,23.27,0.6172402
3.7,24.27,0.6191381
3.7,25.27,0.6210326
3.7,26.27,0.6229238
